2011-07-09_01|['out/pycrop/2011-07-09_01/1-00000.avi']
2011-07-09_14|['out/pycrop/2011-07-09_14/1-00000.avi']
2011-07-09_10|['out/pycrop/2011-07-09_10/1-00000.avi']
2011-07-09_12|['out/pycrop/2011-07-09_12/1-00000.avi']
2011-07-09_09|['out/pycrop/2011-07-09_09/1-00000.avi']
2011-07-09_04|['out/pycrop/2011-07-09_04/1-00000.avi']
2011-07-09_11|['out/pycrop/2011-07-09_11/1-00000.avi']
2011-07-09_03|['out/pycrop/2011-07-09_03/1-00000.avi']
2011-07-09_05|['out/pycrop/2011-07-09_05/1-00000.avi']
2011-07-09_07|['out/pycrop/2011-07-09_07/1-00000.avi']
2011-07-09_17|['out/pycrop/2011-07-09_17/1-00000.avi']
2011-07-09_19|['out/pycrop/2011-07-09_19/1-00000.avi']
2011-07-09_08|['out/pycrop/2011-07-09_08/1-00000.avi']
2011-07-09_02|['out/pycrop/2011-07-09_02/1-00000.avi']
2011-07-09_15|['out/pycrop/2011-07-09_15/1-00000.avi']
2011-07-09_16|['out/pycrop/2011-07-09_16/1-00000.avi']
2011-07-09_18|['out/pycrop/2011-07-09_18/1-00000.avi']
2011-07-09_13|['out/pycrop/2011-07-09_13/1-00000.avi']
2011-07-09_06|['out/pycrop/2011-07-09_06/1-00000.avi']
